"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.308809600E-2,4.978011847E-1,1.309219599E0,2.171602249E-1
5.308809600E-2,4.986248314E-1,1.232787013E0,2.741260529E-1
6.308809600E-2,4.746282399E-1,1.212903857E0,1.931276321E-1
7.308834600E-2,4.728688300E-1,1.201925397E0,1.629343033E-1
8.308834600E-2,4.685816765E-1,1.209473252E0,1.964921951E-1
9.308834600E-2,4.402866960E-1,1.189676166E0,3.022212982E-1
1.030883460E-1,4.482336044E-1,1.168306231E0,3.172035217E-1
1.130883460E-1,4.229392111E-1,1.178008318E0,2.843217850E-1
1.230883460E-1,4.288178980E-1,1.189830542E0,2.370252609E-1
1.330883460E-1,4.180785716E-1,1.185256004E0,2.353324890E-1
1.430883460E-1,4.266796410E-1,1.178956032E0,2.577762604E-1
1.530883460E-1,4.363478124E-1,1.140032530E0,2.733421326E-1
1.630883460E-1,4.521775842E-1,1.135162115E0,2.795629501E-1
1.730883460E-1,4.859499335E-1,1.137486935E0,2.451772690E-1
1.830883460E-1,4.763225317E-1,1.136514306E0,2.273283005E-1
1.930883460E-1,4.564169943E-1,1.132450461E0,2.116765976E-1
2.030883460E-1,4.642712772E-1,1.134979129E0,2.341413498E-1
2.130883460E-1,4.398108721E-1,1.120297074E0,3.258686066E-1
2.230883460E-1,4.526232183E-1,1.131399989E0,3.431882858E-1
2.330883460E-1,4.631110728E-1,1.167414784E0,3.050842285E-1
2.430883460E-1,4.860612154E-1,1.168699145E0,3.050041199E-1
2.530883460E-1,4.537966549E-1,1.135747790E0,2.831878662E-1
2.630883460E-1,4.210028052E-1,1.172157884E0,2.613286972E-1
2.730883460E-1,4.109756052E-1,1.050729394E0,2.088956833E-1
2.830883460E-1,3.922515512E-1,9.573453665E-1,2.304620743E-1
2.930883460E-1,3.468349874E-1,8.566836119E-1,3.131265640E-1
3.030883460E-1,2.806731761E-1,7.784260511E-1,2.478809357E-1
3.130883460E-1,2.461087853E-1,7.024112940E-1,2.706241608E-2
3.230883800E-1,2.414190769E-1,6.245085001E-1,-9.558296204E-2
3.330883800E-1,2.481680512E-1,5.336897373E-1,8.099555969E-2
3.430883800E-1,1.737261862E-1,4.870281219E-1,2.737045288E-2
3.530883800E-1,1.489483863E-1,4.421190023E-1,-4.857444763E-2
3.630883800E-1,1.386768073E-1,3.770377636E-1,-8.474254608E-2
3.830883460E-1,1.470209956E-1,2.783981562E-1,8.616447449E-2
3.930883460E-1,1.268685758E-1,2.612241507E-1,1.417694092E-1
4.030883460E-1,1.342390329E-1,2.524776459E-1,1.474103928E-1
4.130883460E-1,1.634950936E-1,1.479570866E-1,1.914196014E-1
4.230883460E-1,1.269175410E-1,1.622240543E-1,1.279764175E-1
4.330883460E-1,9.701142460E-2,1.609604359E-1,5.520439148E-2
4.430883460E-1,7.054858655E-2,9.666252136E-2,2.587032318E-2
4.530883460E-1,1.248538494E-2,6.929790974E-2,8.098220825E-2
4.630883460E-1,-1.262785494E-2,9.293782711E-2,2.598762512E-3
4.730883460E-1,1.194894314E-2,6.495821476E-2,-1.800823212E-2
4.830883460E-1,3.418539464E-2,8.835160732E-2,-2.884960175E-2
4.930883460E-1,3.544490039E-2,6.326019764E-2,8.512783051E-2
5.030883460E-1,-2.047938108E-2,8.286440372E-2,8.446979523E-2
5.130883460E-1,4.408521950E-2,6.689584255E-2,1.102313995E-1
5.230883460E-1,3.039009869E-2,4.233014584E-2,1.142263412E-1
5.330883460E-1,6.309811771E-2,3.543317318E-2,1.203393936E-1
5.430883460E-1,6.814853102E-2,4.621243477E-2,7.110881805E-2
5.530883460E-1,7.793109119E-2,8.311152458E-3,4.981994629E-3
5.630883460E-1,7.411701232E-2,-2.208936214E-2,1.554298401E-2
5.730883790E-1,5.822277069E-2,1.809871197E-2,1.155157089E-1
5.830883790E-1,4.437427223E-2,-2.672314644E-3,1.366996765E-1
5.930883790E-1,3.248620033E-2,1.522374153E-2,9.569263458E-2
6.030883790E-1,2.092324197E-2,5.254983902E-2,4.516506195E-2
6.130883790E-1,-2.155095339E-2,5.405938625E-2,-2.928161621E-2
6.330883450E-1,1.661424339E-2,3.965675831E-2,9.273242950E-2
6.430883450E-1,2.677986026E-2,4.416346550E-3,9.525489807E-2
6.530883450E-1,2.526763082E-2,8.447492123E-2,1.026353836E-1
6.630883450E-1,2.698795497E-2,6.042766571E-2,8.584690094E-2
6.730883450E-1,3.989873827E-2,5.729722977E-2,1.072406769E-1
6.830883450E-1,3.417539597E-2,5.366504192E-2,9.743213654E-2
6.930883450E-1,4.064875096E-2,2.362692356E-2,6.606864929E-2
7.030883450E-1,1.836749911E-2,1.097309589E-2,4.438877106E-2
7.130883450E-1,2.343896031E-2,-5.762934685E-3,2.285003662E-2
7.230883450E-1,9.486854076E-3,1.604652405E-2,-2.258682251E-2
7.330883450E-1,-1.485444605E-2,3.533244133E-3,2.519607544E-2
7.430883450E-1,-2.344043553E-2,-2.106857300E-2,1.787567139E-2
7.530883450E-1,-3.596065938E-2,-4.270792007E-3,3.463172913E-2
7.630883450E-1,-2.582746744E-2,-6.545257568E-2,3.003978729E-2
7.730883450E-1,-6.832323968E-2,-7.699525356E-2,4.205703735E-3
7.830883450E-1,-6.446576118E-2,-8.259594440E-2,3.604984283E-2
7.930883450E-1,-9.356528521E-2,-1.060020924E-1,8.250713348E-2
8.030883450E-1,-4.184277356E-2,-6.816875935E-2,6.459903717E-2
8.130883450E-1,-1.048719883E-2,-7.083106041E-2,8.266639709E-2
